Team Name,Coach,Gender,Grade,Skill,Request
Swarm,Coach Taylor,Girls,3rd/4th Grade,Open,
Thunder,Coach Rob,Girls,3rd/4th Grade,Open,
Storm,Coach Jordan,Girls,3rd/4th Grade,Open,
Hawks,Coach Casey,Girls,3rd/4th Grade,Open,
Heat,Coach Morgan,Girls,3rd/4th Grade,Open,
Lightning,Coach Alex,Girls,3rd/4th Grade,Open,
Titans,Coach Jamie,Girls,3rd/4th Grade,Open,
Warriors,Coach Chris,Girls,3rd/4th Grade,Open,
Panthers,Coach Drew,Boys,3rd/4th Grade,Open,
Falcons,Coach Sam,Boys,3rd/4th Grade,Open,
Blazers,Coach Pat,Boys,3rd/4th Grade,Open,
Cyclones,Coach Cameron,Boys,3rd/4th Grade,Open,
Mustangs,Coach Reese,Boys,3rd/4th Grade,Open,
Wolves,Coach Parker,Boys,3rd/4th Grade,Open,
Royals,Coach Avery,Boys,3rd/4th Grade,Open,
Knights,Coach Blake,Boys,3rd/4th Grade,Open,
Comets,Coach Taylor,Girls,5th/6th Grade,Open,
Sparks,Coach Rob,Girls,5th/6th Grade,Open,
Flight,Coach Jordan,Girls,5th/6th Grade,Open,
Elite,Coach Casey,Girls,5th/6th Grade,Open,
Force,Coach Morgan,Girls,5th/6th Grade,Open,
Select,Coach Alex,Girls,5th/6th Grade,Open,
Raptors,Coach Jamie,Girls,5th/6th Grade,Open,
United,Coach Chris,Girls,5th/6th Grade,Open,
Vipers,Coach Drew,Boys,5th/6th Grade,Open,
Rebels,Coach Sam,Boys,5th/6th Grade,Open,
Pride,Coach Pat,Boys,5th/6th Grade,Open,
Impact,Coach Cameron,Boys,5th/6th Grade,Open,
Stars,Coach Reese,Boys,5th/6th Grade,Open,
Liberty,Coach Parker,Boys,5th/6th Grade,Open,
Phoenix,Coach Avery,Boys,5th/6th Grade,Open,
Eclipse,Coach Blake,Boys,5th/6th Grade,Open,
Crush,Coach Taylor,Girls,7th/8th Grade,Open,
Surge,Coach Rob,Girls,7th/8th Grade,Open,
Velocity,Coach Jordan,Girls,7th/8th Grade,Open,
Fusion,Coach Casey,Girls,7th/8th Grade,Open,
Rise,Coach Morgan,Girls,7th/8th Grade,Open,
Pulse,Coach Alex,Girls,7th/8th Grade,Open,
Legacy,Coach Jamie,Boys,7th/8th Grade,Open,
Momentum,Coach Chris,Boys,7th/8th Grade,Open,
Aces,Coach Drew,Boys,7th/8th Grade,Open,
Wildcats,Coach Sam,Boys,7th/8th Grade,Open,
Cougars,Coach Pat,Boys,7th/8th Grade,Open,
Bulldogs,Coach Cameron,Boys,7th/8th Grade,Open,
Tigers,Coach Reese,Girls,HS JV,Open,
Lions,Coach Parker,Girls,HS JV,Open,
Jaguars,Coach Avery,Girls,HS JV,Open,
Bears,Coach Blake,Girls,HS JV,Open,
Rockets,Coach Taylor,Girls,HS JV,Open,
Mavericks,Coach Rob,Boys,HS JV,Open,
Pioneers,Coach Jordan,Boys,HS JV,Open,
Chargers,Coach Casey,Boys,HS JV,Open,
Spartans,Coach Morgan,Boys,HS JV,Open,
Gladiators,Coach Alex,Boys,HS JV,Open,
Raiders,Coach Jamie,Girls,HS Varsity,Open,
Outlaws,Coach Chris,Girls,HS Varsity,Open,
Trailblazers,Coach Drew,Girls,HS Varsity,Open,
Firebirds,Coach Sam,Girls,HS Varsity,Open,
Stallions,Coach Pat,Girls,HS Varsity,Open,
Hornets,Coach Cameron,Boys,HS Varsity,Open,
Scorpions,Coach Reese,Boys,HS Varsity,Open,
Sharks,Coach Parker,Boys,HS Varsity,Open,
Cobras,Coach Avery,Boys,HS Varsity,Open,
Eagles,Coach Blake,Boys,HS Varsity,Open,
