Team Name,Coach,Gender,Grade,Skill,Request
3rd/4th Grade Girls Swarm 1,Coach Taylor,Girls,3rd/4th Grade,Open,
3rd/4th Grade Girls Thunder 2,Coach Rob,Girls,3rd/4th Grade,Open,
3rd/4th Grade Girls Storm 3,Coach Jordan,Girls,3rd/4th Grade,Open,
3rd/4th Grade Girls Hawks 4,Coach Casey,Girls,3rd/4th Grade,Open,no_sat_am
3rd/4th Grade Girls Heat 5,Coach Morgan,Girls,3rd/4th Grade,Open,
3rd/4th Grade Girls Lightning 6,Coach Alex,Girls,3rd/4th Grade,Open,no_sun
3rd/4th Grade Girls Titans 7,Coach Jamie,Girls,3rd/4th Grade,Open,
3rd/4th Grade Girls Warriors 8,Coach Chris,Girls,3rd/4th Grade,Open,no_am
3rd/4th Grade Boys Panthers 1,Coach Drew,Boys,3rd/4th Grade,Open,
3rd/4th Grade Boys Falcons 2,Coach Sam,Boys,3rd/4th Grade,Open,no_pm
3rd/4th Grade Boys Blazers 3,Coach Pat,Boys,3rd/4th Grade,Open,
3rd/4th Grade Boys Elite 4,Coach Cameron,Boys,3rd/4th Grade,Open,
3rd/4th Grade Boys United 5,Coach Reese,Boys,3rd/4th Grade,Open,
3rd/4th Grade Boys Cyclones 6,Coach Parker,Boys,3rd/4th Grade,Open,no_sat_am
3rd/4th Grade Boys Mustangs 7,Coach Avery,Boys,3rd/4th Grade,Open,
5th/6th Grade Girls Wolves 1,Coach Blake,Girls,5th/6th Grade,Open,no_sun
5th/6th Grade Girls Sparks 2,Coach Taylor,Girls,5th/6th Grade,Open,
5th/6th Grade Girls Comets 3,Coach Rob,Girls,5th/6th Grade,Open,no_am
5th/6th Grade Girls Raptors 4,Coach Jordan,Girls,5th/6th Grade,Open,
5th/6th Grade Girls Knights 5,Coach Casey,Girls,5th/6th Grade,Open,no_pm
5th/6th Grade Girls Royals 6,Coach Morgan,Girls,5th/6th Grade,Open,
5th/6th Grade Boys Flight 1,Coach Alex,Boys,5th/6th Grade,Open,
5th/6th Grade Boys Force 2,Coach Jamie,Boys,5th/6th Grade,Open,
5th/6th Grade Boys Select 3,Coach Chris,Boys,5th/6th Grade,Open,no_sat_am
5th/6th Grade Boys Swarm 4,Coach Drew,Boys,5th/6th Grade,Open,
5th/6th Grade Boys Thunder 5,Coach Sam,Boys,5th/6th Grade,Open,no_sun
5th/6th Grade Boys Storm 6,Coach Pat,Boys,5th/6th Grade,Open,
5th/6th Grade Boys Hawks 7,Coach Cameron,Boys,5th/6th Grade,Open,no_am
5th/6th Grade Boys Heat 8,Coach Reese,Boys,5th/6th Grade,Open,
7th/8th Grade Girls Lightning 1,Coach Parker,Girls,7th/8th Grade,Open,no_pm
7th/8th Grade Girls Titans 2,Coach Avery,Girls,7th/8th Grade,Open,
7th/8th Grade Girls Warriors 3,Coach Blake,Girls,7th/8th Grade,Open,
7th/8th Grade Girls Panthers 4,Coach Taylor,Girls,7th/8th Grade,Open,
7th/8th Grade Girls Falcons 5,Coach Rob,Girls,7th/8th Grade,Open,no_sat_am
7th/8th Grade Boys Blazers 1,Coach Jordan,Boys,7th/8th Grade,Open,
7th/8th Grade Boys Elite 2,Coach Casey,Boys,7th/8th Grade,Open,no_sun
7th/8th Grade Boys United 3,Coach Morgan,Boys,7th/8th Grade,Open,
7th/8th Grade Boys Cyclones 4,Coach Alex,Boys,7th/8th Grade,Open,no_am
7th/8th Grade Boys Mustangs 5,Coach Jamie,Boys,7th/8th Grade,Open,
7th/8th Grade Boys Wolves 6,Coach Chris,Boys,7th/8th Grade,Open,no_pm
HS JV Girls Sparks 1,Coach Drew,Girls,HS JV,Open,
HS JV Girls Comets 2,Coach Sam,Girls,HS JV,Open,
HS JV Girls Raptors 3,Coach Pat,Girls,HS JV,Open,
HS JV Girls Knights 4,Coach Cameron,Girls,HS JV,Open,no_sat_am
HS JV Boys Royals 1,Coach Reese,Boys,HS JV,Open,
HS JV Boys Flight 2,Coach Parker,Boys,HS JV,Open,no_sun
HS JV Boys Force 3,Coach Avery,Boys,HS JV,Open,
HS JV Boys Select 4,Coach Blake,Boys,HS JV,Open,no_am
HS JV Boys Swarm 5,Coach Taylor,Boys,HS JV,Open,
HS Varsity Girls Thunder 1,Coach Rob,Girls,HS Varsity,Open,no_pm
HS Varsity Girls Storm 2,Coach Jordan,Girls,HS Varsity,Open,
HS Varsity Girls Hawks 3,Coach Casey,Girls,HS Varsity,Open,
HS Varsity Girls Heat 4,Coach Morgan,Girls,HS Varsity,Open,
HS Varsity Girls Lightning 5,Coach Alex,Girls,HS Varsity,Open,no_sat_am
HS Varsity Girls Titans 6,Coach Jamie,Girls,HS Varsity,Open,
HS Varsity Girls Warriors 7,Coach Chris,Girls,HS Varsity,Open,no_sun
HS Varsity Boys Panthers 1,Coach Drew,Boys,HS Varsity,Open,
HS Varsity Boys Falcons 2,Coach Sam,Boys,HS Varsity,Open,no_am
HS Varsity Boys Blazers 3,Coach Pat,Boys,HS Varsity,Open,
HS Varsity Boys Elite 4,Coach Cameron,Boys,HS Varsity,Open,no_pm
HS Varsity Boys United 5,Coach Reese,Boys,HS Varsity,Open,
HS Varsity Boys Cyclones 6,Coach Parker,Boys,HS Varsity,Open,
HS Varsity Boys Mustangs 7,Coach Avery,Boys,HS Varsity,Open,
HS Varsity Boys Wolves 8,Coach Blake,Boys,HS Varsity,Open,no_sat_am
